,Aluminium Strip Ceiling & Accessories,,,,,,
No,Description,Qty,UOM,Unit Price (RM),Total (RM),Quotation No,Date
1,Aluminium Strip Ceiling (Panel 0.55mm 305/305H-(A) 50mm Std Colour),1,Mr,6.1,,,
2,Aluminium Strip Ceiling (Panel 0.55mm 305/305H-(A) 50mm Woodgrain),1,Mr,7.2,,,
3,Aluminium Strip Ceiling (Panel 0.55mm 305/305H-(A) 50mm Woodgrain T),1,Mr,7.4,,,
4,Aluminium Strip Ceiling (Panel 0.55mm 310/310H-(A) 100mm Std Colour),1,Mr,6.3,,,
5,Aluminium Strip Ceiling (Panel 0.55mm 310/310H-(A) 100mm Woodgrain),1,Mr,7.5,,,
6,Aluminium Strip Ceiling (Panel 0.55mm 310/310H-(A) 100mm Woodgrain T),1,Mr,7.8,,,
7,Aluminium Strip Ceiling (Panel 0.55mm 315/315H-(A) 150mm Std Colour),1,Mr,9.1,,,
8,Aluminium Strip Ceiling (Panel 0.55mm 315/315H-(A) 150mm Woodgrain),1,Mr,11.4,,,
9,Aluminium Strip Ceiling (Panel 0.55mm 315/315H-(A) 150mm Woodgrain T),1,Mr,11.6,,,
10,Aluminium Strip Ceiling (Panel 0.55mm 320/320H-(A) 200mm Std Colour),1,Mr,11.6,,,
11,Aluminium Strip Ceiling (Panel 0.55mm 320/320H-(A) 200mm Woodgrain),1,Mr,13.9,,,
12,Aluminium Strip Ceiling (Panel 0.55mm 320/320H-(A) 200mm Woodgrain T),1,Mr,14.2,,,
13,GI Carrier Rail (MF) 4880mm,1,Pc,20,,,
14,Aluminium Ceiling Trim (STD) 3660mm,1,Pc,8.5,,,
15,Aluminium Ceiling Trim (Woodgrain) 3660mm,1,Pc,11.5,,,
16,GI Bracing 2440mm,1,Pc,3.8,,,
17,GI Bracing (P/Coated) 2440mm,1,Pc,7.5,,,
18,GI Panel Joint (100mm),1,Pc,0.7,,,
19,GI Panel Joint (150mm),1,Pc,0.8,,,
20,GI Panel Joint (200mm),1,Pc,1,,,
