,,,,,
No,Description,UOM,Unit Price (RM),Quotation No,Date
1,18mm Vietnam Commercial Gred (Flooring Use) Plywood,Sheet,143,,
2,Grille Door Handle Lever,Pc,76,,
3,Sliding Door Lock (Generic),Pc,22,,
4,Sliding Door Lock J6 White,Pc,23,CS63336,2021-02-08
5,Sliding Door Lock J6 Black,Pc,22.5,IN41680,2021-02-17
6,Sliding Top Roller MR007N,Set,25,CS63336,2021-02-08
7,Shower Hinge SH04 Wall/Glass (Centre),Prs,85,IN41680,2021-02-17
8,Shower Glass Handle 712-S,Prs,28,IN41686,2021-02-17
9,LGP-5 Curved Jaw Locking Pliers,Pc,25,CS63336,2021-02-08
10,TC30 Toyo Glass Cutter,Pc,48,CS63336,2021-02-08
11,AFG1002 Nylon Floor Guide for SD 790,Pc,20,CS63336,2021-02-08
12,Glass Clip GC08 12mm,Pc,12,IN41680,2021-02-17
13,STL69-799 Stanley Riverter (Heavy),Set,60,IN41680,2021-02-17
